title;name;Commentaire (Contenu);Commentaires (Professeur);Contenu;Pédagogie;points
Intercultural Management;Junko Takagi;"Très bien, pas ""technique"" mais apports réels, autant humains que théoriques";Très bonne prof, si on taffe on apprend des choses, elle ne va pas chercher indéfiniement les gens qui s'en tapent ;8;9;1
Managing IT in the Digital Age;Jan Ondrus;The concepts and content were fine. Very up to date. But the structure was not clear enough and the practical part was a bit limited. ;For the pedagogy part, maybe the professor can improve the structure of the course, to make it more logical.  / Rules in class is fine. ;7;7;
Publicité;Philippe Cohen;Pour les gens qui se destinent à bosser dans la publicité, le cours n'en donne qu'un avant goût. Cependant le prof étant une pointure, toute discussion avec lui est fructueuse et il donne de bons conseils.  / Un dossier de pub est à rendre à la fin sur une sujet déterminé avec le prof, tournant autour de sujets comme la drogue, la prostitution, le service militaire etc...;Cohen fait son show, ce qui peut être sacrément agaçant à la longue. Il n'aime ni les retardataires, ni les absents.;8;8;0
Entrepreneuriat;Fabrice Cavarretta;Plutôt conceptuel, on aborde beaucoup la question de l'état d'esprit dans lequel il faut se lancer, et les grandes manières de faire et de ne pas faire. Franchement, pour quiconque veut une introduction / une base à l'entrepreneuriat, c'est idéal. Dose de travail tout à fait supportable en semaine bloquée.;Ne veut pas de PC en cours. Le prof est vraiment sympa et passionné, il arrive bien à transmettre sa fougue. Néanmoins, il peut aussi partir dans des gros délires et grosses parenthèses pas vraiment en liant avec le topic, mais il en a conscience. ;8;7;39
Management de l'IT à l'ère numérique;Nicolas Prat;Bon cours en semaine bloquée, pas si pipeau, donne les bases en IS/IT. 1 présentation de groupe à faire, pas compliquée, et 1 devoir sur table final (pas dur, suffit d'avoir écouté le cours). En revanche 1 devoir de groupe à rendre pour la fin du mois (une fois la semaine bloquée finie), plutôt relou parce que plus aucune motivation à la fin du mois pour bosser dessus. ;Prof très sympa, passionné par ce qu'il enseigne et qui essaye donc de rendre sa matière intéressante, du coup très impliqué, n'hésite pas à faire réagir les élèves. ;6;9;26
Atelier de négociation;Aurélien Colson;Concepts théoriques intéressant et mise en pratique efficace. / Le cours s'articule autour des grands piliers de la négociation avec des cas concrets et mise en en application autour de jeux de rôle;Bon prof, bonnes connaissances techniques et capacité à transmettre ;8;7;46
Management de l'IT à l'ère numérique;Nicolas Prat;Pas le cours le plus passionnant mais c'est un fondamental donc pas le choix... A mon avis, c'est un bon plan de le prendre en semaine bloquée. ;Professeur très agréable, qui essaye de rendre intéressant son cours. Le quizz final du vendredi n'est pas évident mais tout le monde valide. Il a fait intervenir deux intervenants dont un très très intéressant. ;5;8;
Entrepreneuriat;Fabrice Cavarretta;Top, complet, super intéressant, contraste avec de nombreux cours de l'ESSEC;Très bon;10;9;26
International Luxury Distribution;Denis Morisset;it is about luxury concept and the new development of the distribution method.;very attractive class, do not need any rules ;10;10;
Intercultural Management;Junko Takagi;Très bon cours, qui ouvre énormément l'esprit. Particulièrement utile pour ceux qui envisagent une expatriation au cours de leur carrière / d'évoluer dans une multinationale qui les amènera à être régulièrement en relation avec des cultures différentes. / Le format semaine bloquée est parfait pour ce genre de cours, qui amènent à beaucoup échanger entre étudiants : la semaine bloquée aide à créer une belle cohésion de groupe et comme tous les gens sont motivés les échanges sont constructifs, les gens écoutent et rebondissentreprise;Juno est extraordinaire, attentive aux étudiants, à l'écoute, compréhensive et en même temps passionnante, rendant son cours ultra vivant, et analysant les situations avec un recul et une acuité impressionnants. Certainement l'une des meilleurs profs de l'ESSEC. ;9;10;24
Organization Theory & Behaviour;Anca Metiu;Un cours intéressant mais on apprend malgré tout assez peu de choses. Anca tente de rendre le cours plus vivant et d'intégrer au maximum la participation des élèves, et ça fonctionne plutôt bien.  / Cours qui reste fumeux sur beaucoup d'aspect, mais ça passe bien en semaine bloquée avec Anca.;Un peu stricte sur les retards, mais superficiellementreprise Professeure gentille et prête à écouter les élèves. ;3;7;36
Atelier de négociation;Aurélien Colson;L'atelier de négo permet d'aborder l'exercice de la négociation par le biais de cas et d'exercices en classe. Beaucoup de participation attendu. Le cours est très facile à valider (une note de synthèse sur ce qui a été appris durant la semaine doit être remis sous 10 jours après la fin du cours) et très agréable à suivre. Il donne en une semaine une bonne idée des techniques à connaître pour aborder une négociation, ce que tout le monde aura à faire tôt ou tard dans sa vie professionnel. ;Très bon pédagogue, un peu imbu de lui-même, mais dans le fond il peut largement se le permettre vu la qualité de son cours. Il donne celui-ci régulièrement à l'ESSEC et à l'ENA, il est rodé à l'exercice. En un mot tout roule. Le prof est légèrement exigeant sur les retards. ;10;9;36
Entrepreneuriat;Fabrice Cavarretta;Très bon cours. On examine les principaux enjeux de l'entrepreunariat sans rentrer trop dans la théorie. Cours très interactif et varié. Une semaine qui passé à toute vitesse.;Le prof n'a pas vraiment de fil conducteur mais son cours est passionant. Son cours évolue avec les questions des étudiants et en function de la discussion en cours. Il a énormément d'exemples et une culture générale de l'entreupreunariat de dinguo. Je recommande!;10;10;40
Negotiation Workshop;Marwan Sinaceur;GOOD COURSE;teaching was quite interactive, i personally learned from the class as I want to enter marketing. I think one should take this course in the last year of the program or before going for interviews for any job.;7;6;
Organization Theory & Behaviour;Anca Metiu;;;7;7;
Organization Theory & Behaviour;Terry Rocves;Il pourrait s'enseigner de bonnes choses dans ce cours, mais en fait non. Lire un vrai livre d'OB serait utile dans la vie. Ce cours, non.;Gentil, mais pas du tout à l'écoute. Un peu frustrant pour ceux qui aiment participer et contredire/challenger les bêtises qu'il raconte. Note absences. Mini travaux de groupes en cours jouent dans la note. Pas d'ordis mais portables easy.;2;3;12
Droit des contrats;Anne-Sophie Barthez;;;7;9;60
Business Economics;Frédéric Jenny;Prof nul, cours brouillon et beaucoup trop long. ;JENNY est de la vieille école, il n'a pas mis ses cours à jour depuis des années, part trop souvent dans des parenthèses inutiles.. ;2;3;33
e-business Strategy&Operations;Peter O'Connor;Top;Fait son show et le fait bien / Super animateur;8;8;
Le cinéma allemand - niveau B/C;Johannes WETZEL;"Cours assez intéressant (ça reste un cours d'allemand...), découverte du cinéma allemand (plusieurs films envoyés par le prof à regarder chez soi, visionnage d'extraits en cours); rappels de grammaire";Professeur très sympathique et à l'écoute, fait l'appel mais pas du tout relou pour les retards ;6;8;
Business Economics;Frédéric Jenny;Cours difficile à suivre.;;6;5;31
Droit & politiques de l'Europe;Viviane de Beaufort;Nul, nul, nul. Le cours manque de rigueur. Les objectifs sont peu clairement définis et on finit par perdre 3h par semaine. Se valide sans effort puisqu'il s'agit seulement de faire une revue de presse et de mettre à jour un chapitre d'un livre sur l'Europe. ;Viviane de Beaufort anime les premiers cours et ensuite deux intervenants se succèdentreprise Viviane a tendance à partir dans tous les sens. Les deux intervenants sont plus structurés mais le mal est déjà fait et il est difficile de s'intéresser de nouveau au cours. ;1;2;
Luxury Retail Management;Delphine Dion;Cours peu intéressant mais trois intervenants de groupes de luxe passionnants, et projet à réaliser pour une marque de luxe, que l'on présente aux managers de la marque;Ne note aucune absence;7;7;5
Corporate Strategy;Elisa Operti;-;-;;;35
Business Economics;Frédéric Jenny;Pas très intéressant, même si certains concepts sont bons à connaître;Détient de grandes connaissances, mais ne sait pas vraiment les partager. Cours monologue. ;6;5;
Finance immobilière;Michel Baroni;Cours pas si simple. Bcp de nouveaux concepts vus et retenus. Bon cours pour les personnes interessées par l'immo;Tres bon prof avec une grosse experience en immo. Le cours etait assez vivant!;7;9;17
Marketing management (en français);Nicolas Glady;Bon cours axé sur le Marketing Analytics plutôt que les concepts de Marketing. / Etudes de cas intéressantes (3 obligatoires, une 4e pour ceux qui ont besoin de rehausser leur note facultative) et pas d'examens. / Ce cours permet de mettre les mains dans le cambouis sans se farcir des slides théoriques. ;Bon pédagogue. Sans langue de bois. Quelque peu egocentrique. Valeur sûre.;10;10;
Innovation Process Management;Xavier Pavie;-;-;7;9;
Competitive Strategy;Olivier Fourcadet;"Un cours sympathique et bien animé, qui apprend beaucoup si on est attentif en classe. C'est un très bon moyen de développer une attitude de ""stratégiste"", ça peut être utile par exemple pour ceux qui comptent travailler dans le conseil en stratégie. Le travail à fournir n'est pas insurmontable, 3 documents word d'une ou deux pages et une présentation finale. ";Olivier Fourcadet est un professeur atypique, mais très attachant. Si vous n'aimez que les profs carrés, posés, qui parlent d'une voix solennelle, ne prenez pas ce prof, il serait aux antipodes de vos attentes. N'hésitez pas à lui parler ou à lui faire des suggestions, il est très ouvert aux étudiants. Il réfléchit énormément à sa pédagogie et à la façon dont il mène son cours. En tout cas, j'ai adoré. Mais beaucoup de gens dormaient en cours, donc je ne sais pas si mon avis est très représentatif. ;9;10;
Anthropologie marques de luxe;Simon Nyeck;"Cours choisi sans aucun intérêt pour le luxe mais pour ""terminer"" mes cours Essec. Sans grande conviction, ce cours a été un vrai + culturel. On apprend beaucoup et M. Nyeck donne un regard très intéressant et précis des marques de luxes que l'on peut voir en cours. ";Professeur pointu et cultivé, connaît très bien son sujet. Fait partie des rares professeurs à rendre son cours participatif (aussi aidé par le public très majoritairement attiré par le domaine du luxe).  / Le prof ne donne cependant que très peu d'indications sur la notation et les travaux à rendre qui sont : un cas écrit (type INSEAD) à rendre, une présentation sur la comparaison de deux marques de luxe ainsi qu'un dossier post trimestre.;8;9;
Droit & politiques de l'Europe;Viviane de Beaufort;Cours choisi par curiosité, au 3ème tour. Cours assez complet sur l'Europe, très académique. Une revue de presse à présenter, le quiz a été remplacé par une participation à un salon à Paris, et on devait rédiger par groupe une partie d'un mémoire collectif.;Viviane est très sympa et très cool, mais aussi très occupée. Le cours a été beaucoup assuré par des professeurs intervenants, 3 au total. Les intervenants étaient très scolaires, pas très captivants.;5;6;
Business Economics;Frédéric Jenny;Le cours contient peu de maths mais le professeur n'hésite pas à interroger les élèves sur feuille (non noté d'après ce que j'ai compris) sur des petits calculs pas durs de temps en temps. Cours très littéraire donc, et très dense, il faut se concentrer pour suivre car on peut facilement décrocher. Le prof aborde des notions intéressantes mais le cours n'est pas très dynamique.;CV impressionnant, bon niveau d'anglais, sympa, fait l'appel à chaque fois, aime bien mêler droit et éco (il a été juge à la Cour de Cassation). Pas très dynamique malheureusementreprise Jenny ne respecte pas trop la durée des pauses ni celle du cours d'ailleurs. ;7;9;
Marketing management (en français);Nicolas Glady;Génial. Donne envie de poursuivre en marketing.;Dommage qu'on sente une certaine arrogance... /  / ;9;7;
Droit des médias;Cosima Ouhioun;Hyper intéressant, même si ça reste très scolaire. Normal pour un cours de droit ceci dit.  / Les exposés (2 à chaque cours) permettent d'ancrer les concepts dans du concret. / ;Cosima : géniale, une ESSEC dynamique qui vous fait oublier qu'il est 16H30, sans être exubérante non plus. / Fabrice : horriblement soporifique. Heureusement, il n'y a que deux cours avec lui. Gardez vos absences pour ces jours là.;10;9;
e-business Strategy&Operations;Peter O'Connor;trop ancien, trop old school même si le professeur prétend le contraire. Si vous voulez seulement avoir une petite culture générale du ecommerce et du digital makerting allez y. Pour maitriser le sujet, mieux vaut aller chercher les infos soi même sur le net. Les cas sont horribles à faire. Pas de partiel.;très vulgaire mais ultra dynamique. Pas prof relou, réactif aux emails. Par contre, je le soupçonne de raconter des bobards parfois sur des cas invérifiables et que les internationaux démentent lorsqu'ils sont du pays cité.;6;7;35
Fondements de la finance;Patrice Poncet;Cours intéressant. Donne des connaissances globales de la finance (d'entreprise te de marché);"Prof passionné mais aussi ""élitiste"" dans ses explications, pas évident pour les non initiés ";7;5;
Capital investissement;Jean-François Galloüin;Cours intéressant grâce au professeur et aux intervenants qu'il fait venir;;7;9;
Fondements de la finance;Patrice Poncet;Fonda donc obligatoire de toute façon, intéressant en soit mais il faut le travailler régulièrementreprise / Quizz intermédiaire (40% de la note) + quizz final (60 % de la note);Bon professeur, rigolo, qui se fiche que vous soyez là ou non, tant que vous êtes à l'heure ! / Pédagogue, cherche à vous faire comprendre la finance au delà des formules. / Fait tout de même parfois trop de digressions car on sent qu'il est passionné. ;6;8;76
Espagnol intermédiaire - niveau D;Luce CANALS;Contenu du cours assez décevant. Professeur ne va pas à l'essentiel: nous fait reconnaitre l'imparfait du subjonctif sur des QCM, traduire des textes plutôt que de faire des thèmes grammaticaux, des exercices de conjugaison. Niveau des élèves très disparate.;Professeur très sympathique, de bonne humeur, quiz facile mais notation assez sévère (0 pour un hors-sujet).;6;6;9
Français débutant suite de la FTS - niveau D;Brigitte OEHLER;good;good;8;9;1
e-business Strategy&Operations;Peter O'Connor;Amazing!! super interesting and useful;super nice and funny, never boring;9;10;
Organization Theory & Behaviour;Karoline Strauss;Cours extrêmement théorique, on balance plein de grands concepts sur comment motiver les gens en entreprise... Pas très utile quand on a déjà fait de stages mais obligatoire... N'apporte rien de concret tellement les exemples sont caricaturaux. Une grosse partie de l'éval est faite sur des travaux de groupe;Réelle implication auprès des étudiants. Elle a vraiment essayé de rendre le cours attractif avec des jeux de rôle et différents supports.;2;9;40
Options;Patrice Poncet;don't take it if you don't plan to work in finance markets, rethink about it if you don't have solid maths background.;atmosphere is a bit strict, does not accept stupid questions;3;7;
Marketing Management (in English);Albert Bemmaor;HORRIBLE ! Ne surtout pas prendre : le prof n'a pas changé ses cas depuis au moins 5 ans et ne fait que lire des fichier excel pendant le cours. Les notes sont aléatoires, on ne sait pas trop d'ou elles sortentreprise;Pas très compréhensif, n'explique rien ou très mal. ;0;2;23
Competitive Strategy;Olivier Fourcadet;"Cours sur la stratégie en général. Assez théorique, quelques concepts / façons de réfléchir intéressants. 5 premiers cours = théorie générale sur la stratégie (comment analyser une situation) ; 5 derniers cours = cas en groupe (1 à présenter avec un débat en classe, 4 exercices critiques à faire chez soi et rendre avant le cours, 1 cas où on ""challenge"" à l'oral). Pas trop de travail mais un bon entrainement à la réflexion stratégique (différents secteurs abordés). Idée du cours : ""think out of the box"".";Pas un super accent mais un anglais plutôt fluide, sans fautes, très clair. Le prof est très sympa, ne prend pas les absences (sauf quand c'est visible par exemple), est prêt à apporter son aide sur les cas en dehors des séances, et discute facilement avec chaque élève. Très agréable.;8;9;19
Marketing Management (in English);Albert Bemmaor;Cours très statistique. Tous les quatres cas sont liés plutôt à stat au lieu de marketing....;Un peu ennuyeux mais facile à valider sauf pas mal de travail exigé pour les cas.;6;6;
Luxury Retail Management;Delphine Dion;"Bon cours, peu de ""cours"" académique, beaucoup d'interventions de pros, très intéressant. / Demande une grande quantité de travail.";Intéressant, pas un cours traditionnel. La moitié des cours est faite par des intervenants vraiment calés. / Pas de présence obligatoire, bonnes notes faciles à obtenir.;8;8;35
Negotiation Workshop;Séverine Lebrun-Kuan;Cours génial ! Très intéressant ! On n'a pas le temps de s'ennuyer,à chaque cours, il y a une simulation de négociation. Le prendre en anglais est encore mieux, car on a la possibilité de négocier avec des gens d'autres nationalités !;Nous avions deux professeurs, Séverine Lebrun-Kuan et Alan Jenkins, tous deux très intéressants.;10;10;60
e-business Strategy&Operations;Peter O'Connor;Un contenu intéressant, surtout pour ceux qui sont intrigués par le digital. Le prof a un don pour illustrer les choses de manière ludique et pour prendre à parti son auditoire. Toutefois, on se perd un peu dans le contenu des cours et l'intérêt des différentes leçons peut varier. ;Un professeur haut en couleurs qui a des dons pour le One Man Show. Mais on sent que Peter a compris les filons pour impressionner ses étudiants. Il prend à parti presque toujours les mêmes étudiants, ce qui peut devenir agaçant, et en annulant deux cours au dernier moment, ce fut un trimestre très peu rempli pour ce cours. Avec des critères de notation restant très vagues. ;7;7;
Consumer Behavior;Laurence Verdickt;Cours assez vaste avec beaucoup d'exemples qui aident a comprendre les concepts. Beaucoup trop de cas à rendre;Bien, bon niveau d'anglais et très impliquée;8;10;
Business Economics;Frédéric Jenny;Certes l'aspect quanti est moins présent que chez d'autres profs pour ce fonda, néanmoins le cours n'est pas pour autant très littéraire. Les concepts sont bien résumés, mais très peu dynamique. ;Excellent CV, mais plus puissant qu'un sédatif PC. Il faut s'accrocher. Compte les demi-absences il me semble.;7;6;
International Marketing;Anne Placet;Cours très intéressant, avec peu de diapositives mais beaucoup d'histoires, d'anecdotes et d'interactions entre les élèves pour illustrer les différences sociales et culturelles. Cours qui développe bien les notions du marketing à l'international (PESTEL, problèmes démographiques, socio-économiques, culturels) avec des exemples concrets à chaque concept abordé et des workshop à chaque 2ème partie de cours avec un passage à l'oral pour chacun des groupes (1 groupe par séance). Cours qui ne demande pas beaucoup de travail et qui se valide avec 14-15 sans trop d'efforts. Il y a au total 2 projets de groupe (oral et oral + rapport écrit) et un examen final (qui demande d'avoir pris quelques notes en cours).;Anne Placet rend les cours particulièrement interactifs et intéressants! Les heures de cours passent assez rapidementreprise En 1ère partie de cours, les ordinateurs ne sont pas tolérés quoique... En 2ème partie, les ordinateurs étaient tolérés car cette partie se présentait sous la forme de workshop. Le professeur n'a jamais réprimandé quelqu'un qui avait son téléphone portable avec lui mais comme il y a des notes d'investissement et qu'au bout de 2 séances, elle connait tous les prénoms, il vaut mieux ne pas en abuser. Sinon c'est un professeur excessivement gentille, très facile à comprendre et avec qui on peut discuter de tout autre chose. 2 absences tolérées au maximum, elle fait l'appel à chaque séance. Ne demande pas vraiment de justification pour ce qui est des absences.;9;10;
Mise en scène du comportement;Morgane Lombard;"Cours qui pourrait s'apparenter à un cours de théâtre. On nous demande de choisir un texte que l'on est censé ""travailler"" tout au long des séances. L'évaluation est assez subjective et est faite sur ""la progression"" (la progression de quoi ? difficile à déterminer). On doit rendre aussi un ""journal de bord"" sur chaque séance. Concrètement les séances sont séparés en deux temps : un premier temps dit d'échauffement qui est assez pénible et très (trop) long (travaille sur la posture, des cris, des massages gênants entre nous...) puis dans un deuxième temps des exercices sur la diction de nos textes (malheureusement trop court). ";"Deux actrices alternants selon les séances. Serpentine est la plus cool et nous laisse nous exprimer. Vrai complicité entre elle et nous. Mais parle beaucoup, beaucoup et finalement laisse peu de place au coeur du cours ""la mise en scène du comportement"".  / Morgane est pareil en pire : dictatorial, avec beaucoup de bullshit.";5;6;11
L'Espagne et ses particularités - niveau C/D;Maria BLANCO;Une remise à niveau en conjugaison en première partie de cours et une deuxième partie plus ouverte à la discussion sur des thèmes originaux (fêtes espagnoles, cinéma...) / Demande pas mal de travail (exercices de conjugaison chaque semaine, 2/3 présentations à l'oral dans le trimestre en groupe) mais des progrès à l'arrivée.;Professeur dynamique, exigeante sur les retards. / Soucieuse de chacun de ses élèves, elle nous aide à progresser et adapte le quizz final au niveau des élèves. / ;8;8;
Sustainability Performance;Charles Cho;Deliver the concept of corporation social responsibility to the to student and how to evaluate the Firm's contribution on CSR.;All three professors have high passion on the CSR. If you are willing to involve in NGO or  social and environmental responsibility, you will not disappointed. ;5;9;35
Marketing Management (in English);Albert Bemmaor;Fonda sans aucun intérêt;Pire prof de l'ESSEC, à ne prendre qu'en cas d'absolue nécessité, demandez les cas des années précédentes.;;;
Options;Samy Bellady;Very mathematics course about options valuations and a lot of concept. You better have learn advanced math and probability before you take the course. ;Extremely irresponsible teacher. No slides no exercise and horrible pedagogy. Only choose this teacher when you have no choice.  ;1;1;
Business Economics;Frédéric Jenny;Cours pas mal mais on s'en rend compte après coup. Peu pratique par contre même si les concepts vus aident à mieux comprendre la stratégie des entreprises;"Soporiphique,  Cours assez magistrale, il faut lire avant et ecouter durant le cours. Pose souvent les memes questions a l""exam";6;6;33
Business Economics;Frédéric Jenny;;;;;45
Français débutant suite de la FTS - niveau D;Michel VERNEUIL;It is a basic French course. The content is the same as on the text book;The teacher is funny and kind. It is a course when you feel really relaxed.;8;10;
Profils personnels et carrière;Jean-Luc Cerdin;Aurait pu être intéressant, mais pas avec ce professeur. ;Note les absences / Prof qui ne sert à rien;3;1;
Droit des contrats;Anne-Sophie Barthez;Enseignement brouillon et très peu de notions vues.;Professeur dilettante qui vient quand ça l'arrange et qui fait remarquer les absences passées des étudiants lors de l'appel.;1;1;1
Théorie & comportement organi.;Fabrice Cavarretta;Peu de concepts concrets mais des sujets intéressants abordés par le professeur;Excellent, prétentieux mais agréable à écouter ;6;9;
